id,CoinDate,CoinOpen,CoinHigh,CoinLow,CoinClose,CoinVolume,CoinCap
69,2022/09/25,18936.31,19134.73,18696.47,18802.1,23359966112.0,360259346858.0
70,2022/09/24,19296.99,19310.2,18861.97,18937.01,26149643168.0,362826506172.0
71,2022/09/23,19412.4,19464.67,18617.55,19297.64,38896078052.0,369718966325.0
72,2022/09/22,18534.65,19456.91,18415.59,19413.55,41135767926.0,371923967755.0
73,2022/09/21,18891.28,19674.63,18290.32,18547.4,46363793975.0,355314855624.0
74,2022/09/20,19545.59,19602.46,18813.46,18890.79,36791346508.0,361876433047.0
75,2022/09/19,19418.57,19639.48,18390.32,19544.13,40177002624.0,374373522207.0
76,2022/09/18,20127.23,20127.23,19387.49,19419.51,31254779144.0,371970445843.0
77,2022/09/17,19777.03,20162.53,19777.03,20127.58,24957448100.0,385513277845.0
78,2022/09/16,19704.01,19870.63,19400.08,19772.58,30123362273.0,378693173324.0
79,2022/09/15,20242.29,20318.17,19636.73,19701.21,36389011503.0,377311288517.0
80,2022/09/14,20184.56,20467.2,19793.4,20241.09,37872380889.0,387631908835.0
81,2022/09/13,22371.48,22673.82,20062.67,20296.71,51091116622.0,388682319976.0
82,2022/09/12,21770.15,22439.18,21603.9,22370.45,50212088965.0,428373958242.0
83,2022/09/11,21678.54,21770.55,21406.94,21769.26,34493951963.0,416840289162.0
84,2022/09/10,21376.91,21760.28,21168.72,21680.54,36913738894.0,415117548315.0
85,2022/09/09,19328.14,21439.41,19310.96,21381.15,48469528171.0,409363809141.0
86,2022/09/08,19289.94,19417.35,19076.71,19329.83,32194477850.0,370071738763.0
87,2022/09/07,18837.68,19427.17,18644.47,19290.32,35239757134.0,369299496559.0
88,2022/09/06,19817.72,20155.27,18800.17,18837.67,43403978910.0,360616650169.0
89,2022/09/05,19988.79,20031.16,19673.05,19812.37,28813460025.0,379258182345.0
90,2022/09/04,19832.47,19999.69,19636.82,19986.71,25245861652.0,382576542382.0
91,2022/09/03,19969.72,20037.01,19698.36,19832.09,23613051457.0,379595440557.0
92,2022/09/02,20126.07,20401.57,19814.77,19969.77,29123998928.0,382212933184.0
93,2022/09/01,20050.5,20198.39,19653.97,20127.14,30182031010.0,385208305832.0
94,2022/08/31,19799.58,20420.99,19799.58,20049.76,33225232872.0,383710102295.0
95,2022/08/30,20298.61,20542.64,19617.64,19796.81,34483360283.0,378850670474.0
96,2022/08/29,19615.15,20357.46,19600.79,20297.99,32637854078.0,388422039679.0
97,2022/08/28,20041.03,20139.05,19616.81,19616.81,24366810591.0,375367382008.0
98,2022/08/27,20262.48,20340.77,19890.52,20041.74,30116729776.0,383478483269.0
