,Date,Open,High,Low,Close,Volume
0,2014/10/1,387.427002,391.378998,380.779999,383.61499,26229400.0
1,2014/10/2,383.988007,385.497009,372.946014,375.071991,21777700.0
2,2014/10/3,375.181,377.695007,357.859009,359.511993,30901200.0
3,2014/10/4,359.891998,364.487,325.885986,328.865997,47236500.0
4,2014/10/5,328.915985,341.800995,289.29599,320.51001,83308096.0
5,2014/10/6,320.389008,345.134003,302.559998,330.07901,79011800.0
6,2014/10/7,330.584015,339.247009,320.481995,336.187012,49199900.0
7,2014/10/8,336.115997,354.364014,327.187988,352.940002,54736300.0
8,2014/10/9,352.747986,382.726013,347.687012,365.026001,83641104.0
9,2014/10/10,364.687012,375.066986,352.963013,361.562012,43665700.0
10,2014/10/11,361.362,367.19101,355.950989,362.299011,13345200.0
11,2014/10/12,362.605988,379.433014,356.144012,378.549011,17552800.0
12,2014/10/13,377.92099,397.226013,368.897003,390.414001,35221400.0
13,2014/10/14,391.691986,411.697998,391.324005,400.869995,38491500.0
14,2014/10/15,400.954987,402.22699,388.765991,394.77301,25267100.0
15,2014/10/16,394.518005,398.807007,373.070007,382.556,26990000.0
16,2014/10/17,382.756012,385.477997,375.389008,383.757996,13600700.0
17,2014/10/18,383.976013,395.15799,378.971008,391.441986,11416800.0
18,2014/10/19,391.253998,393.938995,386.457001,389.54599,5914570.0
19,2014/10/20,389.230988,390.084015,378.252014,382.845001,16419000.0
20,2014/10/21,382.42099,392.645996,380.834015,386.475006,14188900.0
21,2014/10/22,386.118011,388.575989,382.248993,383.15799,11641300.0
22,2014/10/23,382.962006,385.048004,356.446991,358.416992,26456900.0
23,2014/10/24,358.591003,364.345001,353.304993,358.345001,15585700.0
24,2014/10/25,358.610992,359.860992,342.877014,347.270996,18127500.0
25,2014/10/26,347.487,359.221008,343.931,354.70401,11272500.0
26,2014/10/27,354.777008,358.631989,349.80899,352.989014,13033000.0
27,2014/10/28,353.214996,359.984009,352.678986,357.618011,7845880.0
28,2014/10/29,357.088989,357.833008,335.342987,335.591003,18192700.0
29,2014/10/30,335.709015,350.912994,335.071991,345.304993,30177900.0
30,2014/10/31,345.009003,348.045013,337.141998,338.321014,12545400.0
31,2014/11/1,338.649994,340.528992,321.054993,325.748993,16677200.0
32,2014/11/2,326.075012,329.049988,320.626007,325.891998,8603620.0
33,2014/11/3,325.569,334.002014,325.480988,327.553986,12948500.0
34,2014/11/4,327.161011,331.766998,325.076996,330.492004,15655500.0
35,2014/11/5,330.683014,343.368988,330.683014,339.485992,19817200.0
36,2014/11/6,339.458008,352.966003,338.424011,349.290009,18797000.0
37,2014/11/7,349.817993,352.731995,341.776001,342.415009,16834200.0
38,2014/11/8,342.153992,347.032013,342.153992,345.488007,8535470.0
39,2014/11/9,345.376007,363.626007,344.255005,363.264008,24205600.0
40,2014/11/10,362.265015,374.81601,357.561005,366.924011,30450100.0
41,2014/11/11,365.856995,371.309998,363.734985,367.695007,15838900.0
